"","GSM734540","GSM734541","GSM734542","GSM734543","GSM734544","GSM734545","GSM734546","GSM734547","GSM734548","GSM734549","GSM734550","GSM734551","GSM734552","GSM734553","GSM734554","GSM734555","GSM734556","GSM734557","GSM734558","GSM734559","GSM734560","GSM734561","GSM734562","GSM734563","GSM734564","GSM734565","GSM734566","GSM734567","GSM734568","GSM734569","GSM734570","GSM734571","GSM734572","GSM734573","GSM734574","GSM734575","GSM734576","GSM734577","GSM734578","GSM734579","GSM734580","GSM734581","GSM734582","GSM734583","GSM734584","GSM734585","GSM734586","GSM734587"
"CATMA1a40805",10.26562171,9.953461714,9.671028064,9.599714095,9.540623646,9.404210977,9.194498965,9.258268307,8.989169646,8.168925572,9.186748594,9.481184315,8.633158913,8.343979143,8.264236172,8.300932433,7.921005155,8.290629991,6.842941937,7.278646293,6.625230314,6.73741661,7.494667565,8.611208217,10.56948901,10.61172697,10.08296675,9.967548616,10.22624647,10.24737859,9.761631369,9.477793439,9.590853702,9.234325845,10.26536743,10.70597926,10.83408512,10.02153195,9.978617976,9.758299919,9.87341792,9.358111195,9.773519472,9.098682953,9.165171628,9.152257946,9.407058911,10.47385717
"CATMA1a43920",11.70789319,10.66907029,10.58150257,10.40506184,9.834934059,9.044634959,9.498190286,9.272205304,9.70813195,10.43124889,11.69981348,12.08338785,13.01299757,13.34755564,12.98283896,13.12167951,13.02429072,12.18429599,13.02199749,12.61611243,12.08783579,12.19769795,12.23440114,12.49507219,11.17971915,10.10791998,10.37663263,9.164688014,10.85151802,8.276242594,8.672376571,8.482770229,8.911173892,8.853000335,9.994591091,10.48087816,10.79389435,11.11234109,10.47975125,10.3557937,9.779180842,9.254809526,9.709021032,9.452634557,9.711994236,9.826880652,10.02368043,10.23398665
"CATMA1a46055",9.215708936,8.615469015,8.76398589,8.750120236,8.987190848,9.230386071,9.295026316,8.612735682,9.600481387,9.651196467,10.11570189,11.22878843,11.03173201,10.95316436,11.40475083,11.30924794,11.76827566,12.97635407,12.76499295,12.92430631,13.40766458,12.96172773,13.86914346,13.09044996,8.885909513,8.897590842,8.609235417,8.569879656,8.849178024,8.947124765,9.197546997,9.026929303,9.292974422,9.360661962,9.719010574,9.913635227,9.651784793,9.07462854,9.71316252,9.459688213,9.944216195,10.29913071,10.13447759,9.978441474,10.94918701,10.33429117,10.42405645,10.09131707
"CATMA1a47270",10.15236558,9.88729746,10.02618673,10.95480965,10.47059429,9.54981361,10.36715054,10.50447426,10.1417765,10.80713326,10.02464225,9.802214095,8.712356955,8.592792086,9.16989312,9.612324982,9.02842905,9.358713716,8.868359197,9.270525608,9.04507367,9.350943721,9.261975508,9.200579078,10.24423035,10.02329844,10.30860663,10.9094913,10.89849788,10.04129472,10.32202531,10.44559799,10.40633207,10.92818057,10.40077773,10.24484592,10.15903026,10.63848906,11.25419654,11.68396494,11.47293007,9.983101867,10.52291252,10.3998158,10.32836923,11.23759692,10.89276283,10.84883292
"CATMA1a51390",9.148314677,8.886181869,9.043607006,8.54887459,9.279158153,9.20798698,9.159208784,8.634099939,9.78717297,9.244496354,10.2489014,9.994258476,11.53942856,11.72823245,11.31508509,11.22604145,11.37562982,11.22422582,11.31717552,11.4053676,11.38953158,10.58660319,11.36832526,10.65540891,8.802425749,8.173827772,8.143621588,8.171141495,9.012537902,8.311740393,8.247135746,8.444707956,8.334604336,8.221728372,8.466292349,8.69154043,8.827006601,8.644556395,8.414879035,8.843561896,8.589441125,8.933834932,8.870350821,8.969777783,9.145716684,8.530022317,8.841535472,7.88145496
"CATMA1a53560",7.148529207,7.041277473,6.666004382,7.055151385,7.006628586,7.336984019,7.616678297,7.905898308,6.876687629,7.306599327,6.840691714,7.300756116,6.608921423,6.942036378,7.395197511,6.492398883,6.679267619,7.248625426,7.334055701,6.987472486,7.028210339,6.826329291,7.514916344,6.030961926,7.158024546,7.621299119,7.347787843,7.031924819,7.235563766,7.920502934,7.554690639,7.514896473,7.375490079,7.325349828,7.347036903,7.729814915,8.178730123,7.370945193,7.435027599,6.823845958,7.010714561,7.820667522,7.617597425,7.945332821,7.960815946,7.389281563,7.463459883,7.565281635
"CATMA1a53565",9.780396746,9.727992512,10.09450284,9.76403,9.770160463,9.754962877,9.617728843,9.095310649,9.690313076,9.910517119,9.845089533,10.00256381,10.04187342,9.916906721,9.717226074,9.2950867,9.62854563,9.826945141,9.548213334,9.831631045,10.03810185,10.06834614,9.947527224,10.00627443,9.797755435,9.633943669,10.16650122,9.985560618,10.13588089,9.738838387,9.774157094,9.999694766,9.76711583,9.67446869,10.16700755,9.900025814,10.30029964,9.725164027,9.872992294,9.890540443,9.630994534,9.967895119,9.684633406,9.99689626,9.931769636,9.972766652,9.860309582,9.772671884
"CATMA1a54343",8.314152133,7.974683034,9.046710554,10.39655538,10.70524628,9.486905654,9.305030014,9.652408004,8.696048003,9.026973771,7.986933517,7.279916907,6.501485743,7.167028124,7.458469855,8.455173183,8.362018562,7.886500212,8.157396993,7.680723866,7.149243916,8.333367102,7.66386805,7.342791466,7.926762585,8.936921451,9.244112554,11.02957442,10.33193484,9.506010538,10.01412492,9.743686075,8.909740939,9.506461877,8.746196882,7.878390574,8.179947521,7.569680985,9.589100431,10.94547334,11.22777602,9.01968916,9.163531549,8.363448706,8.71739968,9.762430149,10.1426279,9.08002443
"CATMA1a54346",8.190566664,8.10266094,8.638163113,9.166825161,9.451594189,8.796591859,8.63916873,8.677393721,8.257372343,8.865641897,8.16897235,8.066611847,7.824578826,7.690495996,7.644186001,7.887162266,7.467236273,7.578886647,8.056107892,7.805001545,7.779712218,8.130459112,7.754276985,7.682463062,8.314522381,8.372098726,8.720300776,9.512552224,9.265582009,8.600514307,8.681882871,8.841344004,8.64252893,8.967916438,8.502336305,8.221235346,8.255231788,8.27126584,8.755064083,9.494524341,9.216914181,8.530411626,8.268271162,8.153770474,8.312302894,9.015531936,8.960747778,8.579797318
"CATMA1a61750",11.54032113,10.8986344,10.51437948,10.4871976,10.7837497,10.29134296,10.45366222,11.05817108,11.14031929,11.71942533,12.85172739,13.33060006,13.87305435,13.92009726,13.58355639,13.33187817,13.44771258,13.01531508,13.50566749,13.13386712,13.14210978,12.83818903,13.53986904,13.19539184,11.07685813,10.56480598,10.35904749,10.15402732,11.06353108,10.14831892,10.11168715,9.862034757,9.700061452,10.13134664,9.979442115,10.7739908,9.93407162,10.5698855,10.19705886,10.41583607,9.756233903,9.986336316,10.70180426,9.933107103,10.21611208,10.0390019,10.08278257,10.31101243
"CATMA1a62725",7.366727735,7.884903845,7.686589245,7.589885941,7.566144737,7.480252178,7.722113795,7.564886084,7.725009615,7.547807615,7.973960348,8.001969344,8.500328832,8.622519937,8.489837725,9.130994754,8.743030324,8.641235697,9.305754467,9.375290365,9.530911219,9.208073286,9.734324885,9.197335169,7.184962407,7.526028767,7.5446339,7.486616887,7.187434834,7.308852482,7.093393292,7.081443008,7.830671364,7.579089015,7.70333097,7.234988153,7.231538146,7.683853145,7.296255441,7.61577345,7.800968711,7.520893489,7.815132477,7.889940721,7.74421064,7.792299507,8.010998983,7.666934211
"CATMA1a63980",9.385160359,9.362646841,8.731889288,8.220991013,8.83698761,8.672098939,9.334825487,10.01899879,10.36775088,10.46813926,11.84648538,11.85231866,13.14491395,13.13768519,13.04402586,12.16605296,12.77418467,11.92675197,11.6983145,11.53402639,11.4692355,11.62859748,12.03017819,11.73839068,8.643643527,8.760349907,8.487767359,8.230578726,9.138463495,8.758958187,8.005273005,8.727313831,8.95403869,8.365560789,9.033031445,9.363355432,9.822705935,10.05511527,9.714616536,9.488611457,9.443307374,9.540958411,9.605493045,9.097303413,9.685881406,9.881072728,9.644585374,10.29142997
"CATMA1a64075",11.33135656,10.588469,10.87960011,10.70956266,11.02707087,10.72942283,10.70442205,11.07231973,10.96401938,11.16245468,11.48135898,10.89399133,11.39309556,10.14051609,10.16897006,9.523580295,9.855255212,9.845993907,9.17942546,9.148068646,8.844015653,9.23188437,9.257531452,9.120847333,11.08344275,10.96485152,11.12172187,10.75724793,11.60563681,11.17757804,11.113143,11.00842323,10.85973574,11.98086025,11.35195152,11.45327803,11.04979938,10.49765051,10.67982856,10.43225869,10.08590237,10.68032675,10.65758674,10.51247889,10.78469632,10.62912817,11.0989897,10.9189532
"CATMA1a67475",13.54426436,14.07505657,14.06079181,14.32439195,14.03447052,14.06056748,14.05550727,14.30063069,13.83257465,14.00620006,14.4978313,14.29504885,14.48355412,15.30655654,15.38708148,14.91489741,15.51780016,15.10520228,15.12601938,15.29972903,14.86131101,14.9828799,14.98034065,15.02179024,13.4809325,13.58154705,13.84068575,14.04587761,14.054046,13.92215923,13.95002065,13.99581029,13.7287799,13.70721901,14.0588395,14.30894549,14.01720301,13.86817145,13.57703828,13.66159183,13.51799003,13.47633708,14.07892931,13.94153555,13.94610608,13.94628789,13.98745082,14.39185343
"CATMA1a70060",12.0867653,11.29187656,10.62324534,10.51571172,10.17951574,10.25281737,10.40682105,10.83696143,11.24381516,11.70510789,12.60312064,12.19483389,13.40218487,13.10798547,12.68766662,11.61578507,11.96540345,11.49929652,11.52468637,11.01120683,10.79930781,10.74914919,11.08627068,10.69670173,11.76697109,10.98286236,10.6509756,10.21636066,10.95027314,9.959932372,9.679256486,9.936644685,9.731096309,10.21603998,9.935230951,10.3204725,10.80857432,10.67910393,10.61776467,10.14917425,10.40904795,10.55775973,10.21279537,9.920741786,9.981841418,10.16493254,9.540333159,9.958792445
"CATMA1c71010",9.157468374,9.239560215,8.924519989,8.829069445,8.956398887,9.033160499,9.076898153,9.394197692,9.287688176,9.061871763,9.496402588,9.484444337,10.05685371,9.934977336,9.90674789,10.04374934,9.985492165,9.950279048,9.502518717,9.862850984,10.241678,9.711423117,10.08433739,10.14335386,8.974380855,9.124105018,8.76310998,8.784320138,8.76342312,9.01381487,8.969936679,8.983935199,8.937505573,9.006975868,8.919586464,8.999831104,9.072331585,8.976118375,9.011144724,8.555018867,8.889461815,9.008010353,9.271502541,9.073475265,9.293789027,9.165023686,9.186604338,9.234661678
"CATMA1c71257",9.75204322,9.570021871,8.906890565,9.302565111,9.439050689,9.383940377,9.328829727,10.31962515,10.16899293,9.602408483,10.81864448,11.91927984,11.81021475,12.20224283,12.61147327,12.76332796,13.14129178,12.27087544,12.84029639,12.72912839,12.45163908,12.69623492,12.37770917,12.17754867,9.111476941,9.242847693,8.930676047,8.828725922,9.336431618,8.954864004,8.896207234,8.981299257,8.850440746,9.049902516,8.782582312,9.272385775,8.750578602,9.03667342,9.409632789,8.98061734,8.681478324,9.011459147,9.793099578,8.732424031,9.486977981,8.933879701,8.929402545,9.109472359
"CATMA1c71258",9.257808327,9.850989237,9.544709755,9.878146145,9.843755657,9.60183391,9.566691651,10.1737466,9.645827152,9.780733978,10.00109203,10.4499652,10.04035722,10.98447702,11.13222332,11.97515695,12.41812892,11.79907188,11.92934398,11.86996297,11.46156075,11.59175669,11.0513131,11.02087384,8.943616811,9.342477831,9.358173726,9.422074759,9.36871993,9.447682682,9.236731597,9.40010253,9.127989398,9.353870536,9.561273756,9.609835496,9.15849543,9.211448491,9.377612327,9.26089218,9.179232758,9.468618503,9.575346416,9.301736191,9.468666683,9.287066948,9.178628088,9.312562383
"CATMA1c71260",7.808658033,8.137494906,7.336641507,7.125004849,7.323919611,7.609960384,7.113865432,7.52146478,7.166673235,7.575076266,6.854851945,7.780581496,8.573305678,8.127559666,8.152785658,7.709887808,7.133091888,7.508047715,7.261111841,7.466112259,7.415452389,7.791885432,7.319836932,7.260686436,7.519567993,7.21287499,6.656991644,7.021629915,7.436301364,6.826385414,6.647786052,6.862864382,6.850352867,6.882942228,6.505952334,6.90614911,6.379772848,7.223995311,7.406090694,6.656186788,7.239233149,7.123032875,6.6634814,6.181149827,6.719016038,7.364792832,7.395836587,6.350320207
"CATMA1c71262",6.791002213,7.493798143,7.498777376,7.324623093,7.04592102,7.239031375,7.142476929,6.896385718,7.140010454,7.044004439,6.798039435,7.195419048,7.401839489,7.570111196,7.281104557,7.342259434,7.523105036,6.95413728,6.286651322,7.007518935,7.532096322,7.256778644,7.892437414,7.843215388,7.607618893,7.178435757,6.758423495,7.011684841,7.312083893,7.302721698,7.176775746,6.964951609,7.232384378,6.755654707,6.769489686,6.75704425,7.576133161,7.329826566,7.3694187,7.898393374,7.374112414,7.518457804,6.031266105,7.180109937,7.101407231,7.751002825,7.47115126,7.483112681
"CATMA1c71573",10.16444983,10.14277309,10.31738823,10.07755704,10.32045386,10.45069004,10.41142927,10.17249031,10.49020723,10.35851035,10.50471646,10.06771978,10.28545682,10.51370669,10.68916364,10.4336465,10.67472569,10.5351126,10.23974007,10.39697319,10.51667564,10.22901803,10.40252283,10.42745008,9.791125873,10.07356685,10.01704487,9.797521743,10.41283002,10.09264756,10.19055126,10.03559578,10.18995063,10.34664495,10.03427034,10.19328783,9.779415254,9.824430573,10.12703445,9.931044397,9.810989681,9.937464601,10.10238562,9.973105115,10.1097635,9.832188004,10.2805496,9.946659381
"CATMA1c71720",7.558189078,7.887419087,8.231732293,7.774305839,7.752299573,7.891696057,7.843868674,7.155452404,6.953878822,6.826712099,7.716049503,7.217319577,7.137777719,7.455541963,6.995878357,6.662093611,7.380283278,7.190191758,7.611119346,6.782545328,7.006708998,6.416895755,6.407376173,6.760696215,8.104756042,8.470953826,8.3238413,8.002596552,8.125360923,8.18085853,8.059983152,7.665696587,7.370893953,7.344577376,7.77538141,8.818119807,8.729279999,8.106555516,8.367766734,7.547197493,7.997462826,8.197822892,7.800033464,8.012670805,7.852082252,7.720645893,7.537133905,8.275738867
"CATMA1c72152",6.938069739,6.791230542,7.297688072,7.093537118,7.170351463,5.94475596,6.118251842,7.705645156,7.80569184,7.953196293,8.873129941,8.81417844,9.714923878,9.779891176,9.709179823,9.224703429,9.467931967,9.128407668,8.83130936,8.721919664,8.389655329,8.603738325,8.834370897,8.496905104,6.882800575,6.729178131,6.967624062,6.388600846,7.25822222,5.588595936,5.753937122,6.826604228,6.969291042,6.769897504,7.200252971,7.591574322,6.691440425,7.620042928,7.414611908,6.48643868,6.915582826,7.30019506,7.020883259,7.215954755,6.946022929,7.284249,7.268372219,7.754981723
"CATMA1c72251",10.88067402,9.795734982,9.188140188,9.022899331,8.974118556,9.14074445,9.329026933,9.773864659,10.16170552,10.46879001,11.69321892,11.18389291,12.73422238,12.1220834,11.71912887,10.66767066,10.87642492,10.3766756,10.02910594,9.778649323,9.660643441,9.687864402,9.910733541,9.317698054,10.59137591,9.738413854,9.419110619,8.588513335,9.796983937,8.875009159,8.603430963,8.639347092,8.402256594,8.840487101,8.807373637,9.114550826,9.65253927,9.403732902,9.352525515,8.972639774,9.203501398,9.311612287,9.211225354,8.850691383,8.820150677,8.868540231,8.48750484,8.641053555
